season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2019,MLB,AL-Central,DET,MIN,MIN,5,14,0,19
2019,MLB,AL-Central,KCA,MIN,MIN,5,14,0,19
2019,MLB,AL-East,BAL,BOS,BOS,7,12,0,19
2019,MLB,AL-East,BAL,NYA,NYA,2,17,0,19
2019,MLB,AL-East,BAL,TBA,TBA,7,12,0,19
2019,MLB,AL-East,BAL,TOR,TOR,8,11,0,19
2019,MLB,AL-East,BOS,NYA,NYA,5,14,0,19
2019,MLB,AL-East,BOS,TBA,TBA,7,12,0,19
2019,MLB,AL-East,BOS,TOR,BOS,11,8,0,19
2019,MLB,AL-East,NYA,TBA,NYA,12,7,0,19
2019,MLB,AL-East,NYA,TOR,NYA,11,8,0,19
2019,MLB,AL-East,TBA,TOR,TBA,13,6,0,19
2019,MLB,AL-West,ANA,HOU,HOU,5,14,0,19
2019,MLB,AL-West,ANA,OAK,OAK,6,13,0,19
2019,MLB,AL-West,ANA,SEA,ANA,10,9,0,19
2019,MLB,AL-West,ANA,TEX,TEX,9,10,0,19
2019,MLB,AL-West,HOU,OAK,HOU,11,8,0,19
2019,MLB,AL-West,HOU,SEA,HOU,18,1,0,19
2019,MLB,AL-West,HOU,TEX,HOU,13,6,0,19
2019,MLB,AL-West,OAK,SEA,OAK,10,9,0,19
2019,MLB,AL-West,OAK,TEX,OAK,13,6,0,19
2019,MLB,AL-West,SEA,TEX,TEX,8,11,0,19
2019,MLB,NL-Central,CHN,CIN,CIN,8,11,0,19
2019,MLB,NL-Central,CHN,MIL,MIL,9,10,0,19
2019,MLB,NL-Central,CHN,PIT,CHN,11,8,0,19
2019,MLB,NL-Central,CHN,SLN,SLN,9,10,0,19
2019,MLB,NL-Central,CIN,MIL,MIL,8,11,0,19
2019,MLB,NL-Central,CIN,PIT,PIT,7,12,0,19
2019,MLB,NL-Central,CIN,SLN,SLN,7,12,0,19
2019,MLB,NL-Central,MIL,PIT,MIL,15,4,0,19
2019,MLB,NL-Central,MIL,SLN,SLN,9,10,0,19
2019,MLB,NL-Central,PIT,SLN,SLN,5,14,0,19
2019,MLB,NL-East,ATL,MIA,ATL,15,4,0,19
2019,MLB,NL-East,ATL,NYN,ATL,11,8,0,19
2019,MLB,NL-East,ATL,PHI,PHI,9,10,0,19
2019,MLB,NL-East,ATL,WAS,ATL,11,8,0,19
2019,MLB,NL-East,MIA,NYN,NYN,6,13,0,19
2019,MLB,NL-East,MIA,PHI,MIA,10,9,0,19
2019,MLB,NL-East,MIA,WAS,WAS,4,15,0,19
2019,MLB,NL-East,NYN,PHI,PHI,7,12,0,19
2019,MLB,NL-East,NYN,WAS,NYN,12,7,0,19
2019,MLB,NL-East,PHI,WAS,WAS,5,14,0,19
2019,MLB,NL-West,ARI,COL,COL,9,10,0,19
2019,MLB,NL-West,ARI,LAN,LAN,8,11,0,19
2019,MLB,NL-West,ARI,SDN,ARI,11,8,0,19
2019,MLB,NL-West,ARI,SFN,ARI,10,9,0,19
2019,MLB,NL-West,COL,LAN,LAN,4,15,0,19
2019,MLB,NL-West,COL,SDN,COL,11,8,0,19
2019,MLB,NL-West,COL,SFN,SFN,7,12,0,19
2019,MLB,NL-West,LAN,SDN,LAN,13,6,0,19
2019,MLB,NL-West,LAN,SFN,LAN,12,7,0,19
2019,MLB,NL-West,SDN,SFN,SFN,9,10,0,19
2020,MLB,AL-Central,CHA,CLE,CLE,2,8,0,10
2020,MLB,AL-Central,CHA,DET,CHA,9,1,0,10
2020,MLB,AL-Central,CHA,KCA,CHA,9,1,0,10
2020,MLB,AL-Central,CHA,MIN,TIE,5,5,0,10
2020,MLB,AL-Central,CLE,DET,CLE,7,3,0,10
2020,MLB,AL-Central,CLE,KCA,TIE,5,5,0,10
2020,MLB,AL-Central,CLE,MIN,MIN,3,7,0,10
2020,MLB,AL-Central,DET,KCA,KCA,4,6,0,10
2020,MLB,AL-Central,DET,MIN,MIN,4,6,0,10
